"Date"	"Fish"	"Speed"	"Coherency"	"Response"	"Treatment"	"frame"	"zc"	"xpos"	"ypos"	"z.spd"	"z.accl"	"orientation"	"turnangle.c"	"tortuosity"	"zone"	"CDT.x"	"CDT.y"	"CDT"	"CTT"	"CTTxZONE"
2015-03-04	3	1	0.33	1	2	53	898.5+642.5i	898	642	2.088	0.00576027210875605	1.5707963267949	0.165148677414627	0.01854241455362	"DECISION"	-84	508	514.898048160993	4.33333333333333	1.33333333333333
2015-03-04	3	1	0.33	1	2	54	898.5+648.5i	898	648	2.088	0	1.5707963267949	0	0.018479003376895	"DECISION"	-84	514	520.818586457895	4.41666666666667	1.41666666666667
2015-03-04	3	1	0.33	1	2	55	895.5+657.5i	896	658	3.30141787721579	0.242683575443158	1.89254688119154	0.321750554396642	0.0183793244463804	"DECISION"	-86	524	531.010357714424	4.5	1.5
2015-03-04	3	1	0.33	1	2	56	895.5+666.5i	896	666	3.132	0.0338835754431575	1.5707963267949	0.321750554396642	0.0182916487097619	"DECISION"	-86	532	538.906299833283	4.58333333333333	1.58333333333333
2015-03-04	3	1	0.33	1	2	57	898.5+678.5i	898	678	4.30452227314484	0.234504454628968	1.32581766366803	0.244978663126864	0.0196348943065041	"DECISION"	-84	544	550.447091008754	4.66666666666667	1.66666666666667
2015-03-04	3	1	0.33	1	2	58	901.5+693.5i	902	694	5.32337637219087	0.203770819809206	1.37340076694502	0.0475831032769833	0.0206695286650207	"DECISION"	-80	560	565.685424949238	4.75	1.75
2015-03-04	3	1	0.33	1	2	59	904.5+705.5i	904	706	4.30452227314484	0.203770819809206	1.32581766366803	0.0475831032769833	0.0217574442161025	"DECISION"	-78	572	577.293686090537	4.83333333333333	1.83333333333333
2015-03-04	3	1	0.33	1	2	60	907.5+720.5i	908	720	5.32337637219087	0.203770819809206	1.37340076694502	0.0475831032769833	0.022549687369246	"DECISION"	-74	586	590.653874955545	4.91666666666667	1.91666666666667
2015-03-04	3	1	0.33	1	2	61	907.5+729.5i	908	730	3.132	0.438275274438173	1.5707963267949	0.197395559849881	0.0223326663425114	"DECISION"	-74	596	600.57638981232	5	2
2015-03-04	3	1	0.33	1	2	62	901.5+741.5i	902	742	4.66890993701956	0.307381987403912	2.0344439357957	0.463647609000806	0.0230533880860802	"DECISION"	-80	608	613.240572695578	5.08333333333333	2.08333333333333
2015-03-04	3	1	0.33	1	2	63	898.5+753.5i	898	754	4.30452227314484	0.0728775327749448	1.81577498992176	0.218668945873942	0.0227302037744451	"DECISION"	-84	620	625.664446808351	5.16666666666667	2.16666666666667
2015-03-04	3	1	0.33	1	2	64	895.5+762.5i	896	762	3.30141787721579	0.20062087918581	1.89254688119154	0.0767718912697781	0.0226528660234824	"DECISION"	-86	628	633.861183541002	5.25	2.25
2015-03-04	3	1	0.33	1	2	65	892.5+768.5i	892	768	2.33445496850978	0.193392581741201	2.0344439357957	0.141897054604164	0.0229597021754434	"DECISION"	-90	634	640.356150903542	5.33333333333333	2.33333333333333
2015-03-04	3	1	0.33	1	2	66	889.5+777.5i	890	778	3.30141787721579	0.193392581741201	1.89254688119154	0.141897054604164	0.0228650545549001	"DECISION"	-92	644	650.538238691624	5.41666666666667	2.41666666666667
2015-03-04	3	1	0.33	1	2	67	886.5+783.5i	886	784	2.33445496850978	0.193392581741201	2.0344439357957	0.141897054604164	0.0231435119636714	"DECISION"	-96	650	657.050987367038	5.5	2.5
2015-03-04	3	1	0.33	1	2	68	883.5+789.5i	884	790	2.33445496850978	0	2.0344439357957	0	0.0234065515762921	"DECISION"	-98	656	663.279729827469	5.58333333333333	2.58333333333333
2015-03-04	3	1	0.33	1	2	69	880.5+795.5i	880	796	2.33445496850978	0	2.0344439357957	0	0.023654907052269	"DECISION"	-102	662	669.811913898223	5.66666666666667	2.66666666666667
2015-03-04	3	1	0.33	1	2	70	880.5+801.5i	880	802	2.088	0.0492909937019562	1.5707963267949	0.463647609000806	0.023548231951716	"DECISION"	-102	668	675.74255452798	5.75	2.75
2015-03-04	3	1	0.33	1	2	71	880.5+807.5i	880	808	2.088	0	1.5707963267949	0	0.0234416771337111	"DECISION"	-102	674	681.674409083985	5.83333333333333	2.83333333333333
2015-03-04	3	1	0.33	1	2	72	877.5+814.5i	878	814	2.65028904084064	0.112457808168128	1.97568811307998	0.404891786285083	0.0235365391643282	"DECISION"	-104	680	687.906970454581	5.91666666666667	2.91666666666667
2015-03-04	3	1	0.33	1	2	73	877.5+822.5i	878	822	2.784	0.026742191831872	1.5707963267949	0.404891786285083	0.0233998498676363	"DECISION"	-104	688	695.816067650065	6	3
2015-03-04	3	1	0.33	1	2	74	877.5+831.5i	878	832	3.132	0.0696	1.5707963267949	0	0.0232462978653563	"DECISION"	-104	698	705.705320937854	6.08333333333333	3.08333333333333
